Kurdish Arabic alphabet	0.9038461538461539
Kurdish in Latin script	0.03693519924488037
Kumyk	0.0
Komi	3.4488636363636362
Cornish	0.03266372036962636
Kyrgyz	3.5752768632146066
Latin	0.7462715737566901
Judaeo-Spanish	0.035098389982110914
Luxembourgish	0.18603079123581306
Lak	0.44052863436123346
Lezgian	1.4839679358717435
Lingua Franca Nova	0.03809887869520897
Luganda	0.01867151354923992
Limburgish	0.1440842574972111
Ligurian	0.12079445059538604
Livonian	0.08973531310522918
Laki	0.05224787363304982
Ladin	0.45695364238410596
Lombard	0.17396498118147602
Lingala	0.03263495583983524
Lao	0.061743788676457
Lozi	0.014200266792891261
Northern Luri	0.9712793733681462
Lithuanian	0.2781032628968907
Latgalian	0.023966374328092795
Mizo	0.01416211097240756
Southern Luri	0.017386628428033696
Latvian	0.34304259722809183
Classical Chinese	0.19167972959733517
Laz	0.013971539456662354
Madurese	0.020376974019358125
Maithili	1.1045488816285498
Banyumasan	0.02671584179357022
Moksha	0.7781818181818182
Malagasy	0.1436467020470053
Marshallese	0.017882373719533735
Meadow Mari	0.7730978260869565
Māori	0.031302876480541454
Minangkabau	0.0857522061779363
Macedonian	1.3240013656538068
Malayalam	1.490949299696945
Mongolian	1.1958637469586375
Meitei	1.9166666666666667
Mon language spelling	1.709090909090909
Moldovan	0.02829805479081103
Marathi	1.5143505066969032
Hill Mari	1.5817805383022774
Malay	0.16441300196593783
Maltese	0.2094839424874667
Muscogee	0.019712264525872346
Mirandese	0.061984798201477356
Burmese	0.24181097433757562
Erzya	0.5480908651522475
Mazanderani	1.7484637443670628
Nauruan Wikiquote	0.01992254561424522
Nahuatl	0.043337144543208056
Southern Min	1.305180979418027
Neapolitan	0.11292388387411564
Bokmål	0.2566809493817532
Low German	0.19157622397563004
Dutch Low Saxon	0.17299502976007855
Nepali	1.332538925961233
Newar	1.524029574861368
Ndonga	0.01842083908139252
Nias	0.0
Niuean	0.08923076923076922
Dutch	0.3116070430607945
informal Dutch	0.16666666666666666
Nynorsk	0.15161012595273898
Norwegian	0.0979381443298969
Northern Thai	0.11176470588235295
Novial	0.028455904790967348
N'Ko	2.387832699619772
Norman	0.1130188989919318
Northern Sotho	0.020245200838844974
Navajo	0.02341892055302511
Chewa	0.022080747844306553
Noongar	0.08897338403041825
Occitan	0.14271353794908398
Livvi-Karelian	0.17870884993587002
Oromo	0.02050160042137677
Odia	1.324931506849315
Ossetian	3.339100346020761
Ottoman Turkish	0.35960591133004927
Eastern Punjabi	1.0982541222114452
Pangasinan	0.024120802702165708
Kapampangan	0.0341047503045067
Papiamento	0.13278127156491282
Picard	0.12227646586700244
Pennsylvania German	0.03712281846354591
Plautdietsch	0.020657352175827697
Palatinate German	0.175548929249119
Pali	0.1511161991986262
Pitkern	0.020741447133150553
Polish	0.42190736143305857
Piedmontese	0.15298518137086622
Western Punjabi	2.2466004184100417
Pontic Greek	0.12235817575083426
Old Prussian	0.12602144189354195
Pashto	2.213203463203463
Portuguese	0.3336514868227798
Brazilian Portuguese	0.3247143444021251
Quechua	0.18208364426851822
Kichwa	0.01607662048913973
Romagnol	0.17225352379868344
Riffian	0.01442575232224648
Romansh	0.09768977299720434
Finnish Kalo	0.0829103214890017
Romani	0.02101383933822088
Kirundi	0.018932527693857
Romanian	0.3447093831109247
Tarantino	0.021712331490833896
Russian	1.5487867939538584
Rusyn	0.9110824742268041
Aromanian	0.026732898528742607
Megleno-Romanian	0.04574132492113565
Megleno-Romanian in Cyrillic script	0.08465608465608465
Megleno-Romanian in Latin script	0.01793557833089312
Kinyarwanda	0.02144943775261115
Marwari (India)	0.04938271604938271
Sanskrit	1.7718614718614718
Sakha	3.7679738562091503
Santali	0.054137664346481054
Sardinian	0.11216720750898496
Sicilian	0.12633908809207614
Scots	0.2941476073827945
Sindhi	2.358767424798239
Sassarese	0.01482639182225226
Southern Kurdish	0.033112582781456956
Northern Sami	0.041187521935710306
Seri	0.01762114537444934
Koyraboro Senni	0.030303030303030304
Sango	0.018405650857719474
Samogitian	0.05768022616616931
Serbo-Croatian	0.45474167003912047
Tashelhit	0.0594855305466238
Tachelhit in Latin script	0.018142618882967906
Tachelhit in Tifinagh script	0.0903954802259887
Shan	0.3953488372093023
Shawiya in Latin script	0.8888888888888888
Sinhala	2.2632805219012115
Simple English	0.09278951201747997
Kildin Sami	0.4233128834355828
Pite Sami	0.03442089920394663
Ume Sami	0.12033898305084746
Slovak	0.18624470830505085
Saraiki	4.458333333333333
Saraiki in Arabic script	2.6666666666666665
Slovene	0.17376349311754122
Silesian German	0.015577249575551783
Samoan	0.021608788378737274
Southern Sami	0.02546964886735254
Lule Sami	0.038626834381551366
Inari Sami	0.21212121212121213
Skolt Sami	0.16736990154711673
Shona	0.02195972114639814
Somali	0.04555942278362207
Albanian	0.13269100878064286
Serbian	1.251746297848561
Serbian written in Cyrillic	1.238231493446557
Serbian written in Latin script	0.20107527976620812
Sranan Tongo	0.045121951219512194
Sirionó	0.09533468559837728
Swazi	0.022783815634411418
Sesotho	0.022124600638977636
Saterland Frisian	0.03963625580705743
Siberian Tatar	0.5
Sundanese	0.033550981964437995
Swedish	0.2922485730272609
Swahili	0.14652412221197156
Silesian	0.038017627308338
Sakizaya	0.3097913322632424
Tamil	1.6831091180866966
Atayal	0.0
Tulu	1.3546617915904935
Telugu	2.0846912678114724
Tetum	0.03620984795086094
Tajik	0.8297538533296585
Tajik in Cyrillic script	0.5051903114186851
Tajik in Latin script	0.047611439527081
Thai	2.755574906296142
Tigrinya	1.1515151515151516
Turkmen	0.058966640550905114
Tagalog	0.12345948985489136
Talysh	0.08791208791208792
Tswana	0.021820524175691452
Tongan	0.040490356586670925
Tok Pisin	0.021471689462825704
Turkish	0.2839318804973965
Turoyo	0.014017683847315074
Tsonga	0.019061819940356252
Tatar	0.4840060181853863
Tatar in Cyrillic script	0.6482164821648216
Tatar in Latin script	0.0187007073745833
Tumbuka	0.01994932228612798
Twi	0.021314697532212275
Tahitian	0.052542544913218525
Tuvan	1.726984126984127
Central Atlas Tamazight	0.75
Udmurt	1.3383947939262473
Uyghur	1.4392905866302865
Uyghur Arabic alphabet	0.45569620253164556
Uyghur Latin alphabet	0.018498190836280848
Ukrainian	3.3757061284314025
Urdu	2.239105916128371
Uzbek	0.5613807657521858
Uzbek Cyrillic alphabet	0.0
Uzbek Latin alphabet	1.0
Venda	0.019663596315578694
Venetian	0.13742929388894573
Veps	0.17298808183547498
Vietnamese	0.39600538183167855
West Flemish	0.12234181222300845
Main-Franconian	0.12977032682343564
Volapük	0.10985742866927417
Votic	0.018116533376856536
Võro	0.7537182852143482
Walloon	0.14473484875810674
Waray	0.05705436100013467
Wolof	0.11053248398011455
Wu Chinese	1.3060047378720774
Kalmyk Oirat	1.1705426356589148
Xhosa	0.024855765431123052
Mingrelian	0.8457511075312123
Yiddish	1.4797806716929405
Yoruba	0.13849946962529744
Cantonese	1.1702977172120477
Zhuang	0.02273736925003029
Zeelandic	0.05284699256736845
Standard Moroccan Berber	0.5
Chinese	0.7614893858051895
Putonghua	1.6287116300727102
Simplified Chinese	1.535574773635604
Traditional Chinese	0.5224101660274479
Chinese (Hong Kong)	1.327550915975847
Chinese in Macau	0.9904706339945546
Malaysian Mandarin	0.9465044418694477
Singaporean Mandarin	1.3817805383022774
Taiwanese Mandarin	1.4246500777604976
Zulu	0.10997198879551821
[compute_crossing_alignments] Number of permuted words per language:
global	1002252
Afar	6
Abkhaz	26
Ambonese	0
Acehnese	45
Adyghe	0
Adyghe in Cyrillic script	0
Tunisian Arabic	0
Tunisian Arabic in Arabic script	5
Tunisian Arabic in Latin script	0
Afrikaans	2443
Akan Wiktionary	10
Gheg Albanian	1
Swiss German	4
Amharic	3
Aragonese	340
Old English	7
Angika	0
Arabic	4476
Aramaic	1
Mapudungun	0
Algerian Arabic	0
Moroccan Arabic	6
Egyptian Arabic	8261
Assamese	11
Asturian	8933
Atikamekw	2
Avaric	6
Kotava	8
Awadhi	3
Aymara	3
Azerbaijani	386
South Azerbaijani	4081
Bashkir language	96
Balinese	2
Bavarian	614
Toba Batak	0
Batak Toba in Latin script	0
Southern Balochi	0
Central Bikol	37
Belarusian	581
Taraškievica	60
Bulgarian	2607
Western Balochi	0
Bhojpuri	11
Bislama Wiktionary	3
Banjar	27
Bambara	68
Bengali	627
Tibetan	0
Bishnupriya Manipuri	1
Bakhtiari	0
Breton	309
Brahui language	0
Bosnian	412
Mandailing	0
Rinconada Bikol	0
Buginese	21
Russia Buriat	11
Catalan	9401
Zamboanga Chavacano	4
Min Dong	3
Chechen	628
Cebuano	49
Chamorro	3
Choctaw	3
Cherokee	0
Cheyenne	3
Sorani	14
Corsican	200
Capiznon	0
Cree Wikiquote	3
Crimean Tatar	2
Crimean Tatar Cyrillic alphabet	0
Crimean Tatar Latin alphabet	6
Czech	19396
Kashubian	3
Old Church Slavonic	0
Chuvash	56
Welsh	2099
Danish	11576
Dagbani	0
German	14911
Austrian German	204
Swiss Standard German	488
formal address in German	1
Dinka	2
Zazaki	50
Lower Sorbian	222
Kadazandusun	4
Doteli	0
Dhivehi	9
Dzongkha	0
Ewe	6
Emilian	6
Modern Greek	1558
Emilian-Romagnol	14
English	111324
Canadian English	2806
British English	2938
Esperanto	1461
Spanish	27042
Latin American Spanish	2
formal Spanish	0
Estonian	636
Basque	545
Extremaduran	13
Persian	2109
Fula	5
Finnish	10437
Meänkieli	6
Fijian	4
kven	0
Faroese	23
French	9839
Louisiana French	69
Franco-Provençal	79
North Frisian	285
Friulian	84
West Frisian	167
Irish	309
Gagauz	4
Gan	0
simplified Gan	0
traditional Gan	0
Guianan Creole	3
Scottish Gaelic	221
Galician	2336
Gilaki	1
Guarani	4
Goan Konkani	28
Goan Konkani in Devanagari script	12
Goan Konkani in Latin script	0
Gorontalo	5
Gothic	1
Ancient Greek	1
Alemannic	627
Gujarati	14
Manx	14
Hausa	22
Hakka	6
Hawaiian	51
Hebrew	5278
Hindi	375
Fiji Hindi	10
Fiji Hindi in Latin script	3
Hiligaynon	3
Hiri Motu	3
Croatian	644
Hunsrik	0
Upper Sorbian	243
Haitian Creole	137
Hungarian	15774
formal Hungarian	0
Armenian	511
Western Armenian	32
Herero	3
Interlingua	86
Indonesian	1953
Interlingue	79
Igbo	9
Nuosu	0
Inupiat	3
Eastern Canadian (Aboriginal syllabics)	1
Eastern Canadian in Latin script	3
Ilocano	15
Ingush	2
Ido	93
Icelandic	79
Italian	15129
Inuktitut	0
Japanese	12593
Jamaican Creole	70
Lojban	12
Jutlandic	1
Javanese	50
Georgian	613
Karakalpak	5
Kabyle	69
Kabardian	0
Kabardian in Cyrillic script	0
Kabiye	0
Cape Verdean Creole	0
Kongo	75
Khowar	0
Gikuyu	3
Kirmanjki	0
Kwanyama	0
Eastern Pwo	0
Kazakh	245
Kazakh Arabic alphabets	1
Kazakh in China	1
Kazakh in Cyrillic script	26
Kazakh in Kazakhstan	10
Kazakh in Latin script	14
Kazakh in Turkey	9
Greenlandic	6
Khmer	3
Kannada	131
Korean	1962
North Korean standard language	0
Permyak	3
Kanuri	1
Karachay-Balkar	10
Krio	0
Kinaray-a	0
Karelian	0
Kashmiri	0
Kashmiri in Arabic script	0
Kashmiri in Devanagari script	0
Ripuarian	12
Kurdish	21
Kurdish Arabic alphabet	0
Kurdish in Latin script	1
Kumyk	0
Komi	6
Cornish	5
Kyrgyz	620
Latin	241
Judaeo-Spanish	1
Luxembourgish	649
Lak	7
Lezgian	2
Lingua Franca Nova	10
Luganda	0
Limburgish	349
Ligurian	87
Livonian	0
Laki	0
Ladin	4
Lombard	32
Lingala	0
Lao	3
Lozi	0
Northern Luri	0
Lithuanian	752
Latgalian	6
Mizo	0
Southern Luri	0
Latvian	117
Classical Chinese	42622
Laz	0
Madurese	1
Maithili	17
Banyumasan	23
Moksha	35
Malagasy	135
Marshallese	0
Meadow Mari	106
Māori	16
Minangkabau	100
Macedonian	207
Malayalam	139
Mongolian	97
Meitei	0
Mon language spelling	5
Moldovan	1
Marathi	224
Hill Mari	107
Malay	306
Maltese	96
Muscogee	1
Mirandese	12
Burmese	161
Erzya	422
Mazanderani	4
Nauruan Wikiquote	0
Nahuatl	4
Southern Min	31
Neapolitan	86
Bokmål	6134
Low German	1055
Dutch Low Saxon	304
Nepali	67
Newar	11
Ndonga	0
Nias	0
Niuean	0
Dutch	80830
informal Dutch	0
Nynorsk	352
Norwegian	0
Northern Thai	0
Novial	2
N'Ko	0
Norman	78
Northern Sotho	0
Navajo	3
Chewa	3
Noongar	3
Occitan	157
Livvi-Karelian	2
Oromo	0
Odia	13
Ossetian	249
Ottoman Turkish	0
Eastern Punjabi	122
Pangasinan	3
Kapampangan	11
Papiamento	88
Picard	141
Pennsylvania German	8
Plautdietsch	5
Palatinate German	227
Pali	2
Pitkern	1
Polish	21711
Piedmontese	103
Western Punjabi	87
Pontic Greek	0
Old Prussian	66
Pashto	5
Portuguese	22299
Brazilian Portuguese	2373
Quechua	9
Kichwa	0
Romagnol	65
Riffian	0
Romansh	111
Finnish Kalo	0
Romani	0
Kirundi	1
Romanian	1202
Tarantino	2
Russian	349440
Rusyn	17
Aromanian	2
Megleno-Romanian	0
Megleno-Romanian in Cyrillic script	0
Megleno-Romanian in Latin script	0
Kinyarwanda	1
Marwari (India)	0
Sanskrit	9
Sakha	57
Santali	42
Sardinian	95
Sicilian	93
Scots	1534
Sindhi	12
Sassarese	0
Southern Kurdish	0
Northern Sami	11
Seri	2
Koyraboro Senni	0
Sango	0
Samogitian	4
Serbo-Croatian	407
Tashelhit	0
Tachelhit in Latin script	0
Tachelhit in Tifinagh script	0
Shan	8
Shawiya in Latin script	0
Sinhala	16
Simple English	13
Kildin Sami	0
Pite Sami	0
Ume Sami	0
Slovak	524
Saraiki	0
Saraiki in Arabic script	0
Slovene	2667
Silesian German	1
Samoan	0
Southern Sami	0
Lule Sami	0
Inari Sami	1
Skolt Sami	0
Shona	3
Somali	4
Albanian	14783
Serbian	656
Serbian written in Cyrillic	42
Serbian written in Latin script	100
Sranan Tongo	23
Sirionó	1
Swazi	1
Sesotho	1
Saterland Frisian	3
Siberian Tatar	0
Sundanese	32
Swedish	16372
Swahili	127
Silesian	4
Sakizaya	1
Tamil	533
Atayal	0
Tulu	1
Telugu	91
Tetum	5
Tajik	137
Tajik in Cyrillic script	0
Tajik in Latin script	1
Thai	168
Tigrinya	0
Turkmen	2
Tagalog	193
Talysh	0
Tswana	1
Tongan	6
Tok Pisin	3
Turkish	1163
Turoyo	0
Tsonga	0
Tatar	64
Tatar in Cyrillic script	6
Tatar in Latin script	0
Tumbuka	1
Twi	2
Tahitian	24
Tuvan	531
Central Atlas Tamazight	0
Udmurt	191
Uyghur	8
Uyghur Arabic alphabet	0
Uyghur Latin alphabet	0
Ukrainian	3276
Urdu	266
Uzbek	241
Uzbek Cyrillic alphabet	0
Uzbek Latin alphabet	0
Venda	0
Venetian	96
Veps	1
Vietnamese	2400
West Flemish	100
Main-Franconian	72
Volapük	155
Votic	0
Võro	2
Walloon	93
Waray	41
Wolof	77
Wu Chinese	227
Kalmyk Oirat	17
Xhosa	1
Mingrelian	11
Yiddish	21
Yoruba	98
Cantonese	129
Zhuang	1
Zeelandic	7
Standard Moroccan Berber	0
Chinese	48426
Putonghua	1079
Simplified Chinese	37
Traditional Chinese	43790
Chinese (Hong Kong)	9
Chinese in Macau	3
Malaysian Mandarin	2
Singaporean Mandarin	3
Taiwanese Mandarin	65
Zulu	86
